date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:18	896102/896102	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jan%202025%2016:38:14%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20web%20backend%20nodejs.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20web%20backend%20nodejs.png	(from https://28tech.com.vn/lap-trinh-back-end-nodejs)
08:39:18	1261814/1261814	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202025%2016:17:55%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/fe-2025.jpg	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/fe-2025.jpg	(from https://28tech.com.vn/lap-trinh-front-end)
08:39:18	6026/6026	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Jan%202024%2016:46:13%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/webbackend.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/webbackend.png	(from https://28tech.com.vn/lap-trinh-back-end-java)
08:39:19	7078/7078	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2008:03:41%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/kinh-nghiem.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/kinh-nghiem.png	(from https://28tech.com.vn/lap-trinh-back-end-java)
08:39:19	10868/10868	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Jan%202024%2017:19:37%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/dollar.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/dollar.png	(from https://28tech.com.vn/lap-trinh-back-end-java)
08:39:20	1336265/1336265	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Dec%202024%2003:59:49%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/be-2025.jpg	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/be-2025.jpg	(from https://28tech.com.vn/lap-trinh-back-end-nodejs)
08:39:20	26701/26701	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2001:39:17%20GMT	https://28tech.com.vn/member/khoa-hoc	D:/Videos/28-Tech/28tech.com.vn/member/khoa-hoc.html	(from https://28tech.com.vn/member/forgot-password)
08:39:20	952922/952922	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jan%202025%2016:38:14%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20web%20backend%20java.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/l%e1%ba%adp%20tr%c3%acnh%20%20web%20backend%20java.png	(from https://28tech.com.vn/lap-trinh-back-end-java)
08:39:20	869210/869210	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202024%2017:10:27%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20backend%20java%202024.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20backend%20java%202024.png	(from https://28tech.com.vn/lap-trinh-back-end-java)
08:39:21	29995/29995	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2001:39:18%20GMT	https://28tech.com.vn/member/login	D:/Videos/28-Tech/28tech.com.vn/member/login.html	(from https://28tech.com.vn/member/register)
